2014-12-11 03:59:52 status unpacked dpkg:i386 1.17.5ubuntu5
2014-12-11 03:59:52 install e2fslibs:i386 <none> 1.42.9-3ubuntu1
2014-12-11 03:59:52 status half-installed e2fslibs:i386 1.42.9-3ubuntu1
2014-12-11 03:59:52 status unpacked e2fslibs:i386 1.42.9-3ubuntu1
2014-12-11 03:59:52 status unpacked e2fslibs:i386 1.42.9-3ubuntu1
2014-12-11 03:59:52 install e2fsprogs:i386 <none> 1.42.9-3ubuntu1
2014-12-11 03:59:52 status half-installed e2fsprogs:i386 1.42.9-3ubuntu1
2014-12-11 03:59:53 status unpacked e2fsprogs:i386 1.42.9-3ubuntu1
2014-12-11 03:59:53 status unpacked e2fsprogs:i386 1.42.9-3ubuntu1
2014-12-11 03:59:53 install findutils:i386 <none> 4.4.2-7
2014-12-11 03:59:53 status half-installed findutils:i386 4.4.2-7
2014-12-11 03:59:53 status unpacked findutils:i386 4.4.2-7
2014-12-11 03:59:53 status unpacked findutils:i386 4.4.2-7
2014-12-11 03:59:53 install gcc-4.9-base:i386 <none> 4.9-20140406-0ubuntu1
2014-12-11 03:59:53 status half-installed gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2014-12-11 03:59:53 status unpacked gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2014-12-11 03:59:53 status unpacked gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2014-12-11 03:59:53 install grep:i386 <none> 2.16-1
2014-12-11 03:59:53 status half-installed grep:i386 2.16-1
2014-12-11 03:59:53 status unpacked grep:i386 2.16-1
2014-12-11 03:59:53 status unpacked grep:i386 2.16-1
2014-12-11 03:59:53 install gzip:i386 <none> 1.6-3ubuntu1
2014-12-11 03:59:53 status half-installed gzip:i386 1.6-3ubuntu1
2014-12-11 03:59:53 status unpacked gzip:i386 1.6-3ubuntu1
2014-12-11 03:59:53 status unpacked gzip:i386 1.6-3ubuntu1
2014-12-11 03:59:53 install hostname:i386 <none> 3.15ubuntu1
2014-12-11 03:59:53 status half-installed hostname:i386 3.15ubuntu1
2014-12-11 03:59:53 status unpacked hostname:i386 3.15ubuntu1
